X0610007P14Rik,sample_id,cluster_label,age
5.600695,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
4.9815283,GSM3442013_E14_M_B8.dge.txt.gz,11,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,0,E14
6.0889254,GSM3442013_E14_M_B8.dge.txt.gz,0,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
7.629788,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
6.284219,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,0,E14
5.442149,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,0,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,10,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,0,E14
5.3102946,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,0,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,0,E14
6.279956,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
6.116068,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
6.2651763,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
5.533202,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,2,E14
0.0,GSM3442013_E14_M_B8.dge.txt.gz,0,E14
